split,model,train_rows,test_rows,log_loss,accuracy,brier_score
2019_20,naive_base_rate,6691,1593,1.0710289566393099,0.4394224733207784,0.2160637787117388
2019_20,elo_logistic,6691,1593,0.993168084335177,0.5222849968612681,0.19744980043371543
2019_20,feature_logistic,6691,1593,0.9914635452772687,0.5279347143753923,0.1964635620459623
2019_20,xgboost_classifier,6691,1593,0.9904666543006897,0.5291902071563088,0.19628488347919437
2019_20,poisson_score_model,6691,1593,0.9888100873648845,0.5247959824231011,0.19644458649393123
2020_21,naive_base_rate,8284,2165,1.08664332092624,0.40415704387990764,0.21988236475196962
2020_21,elo_logistic,8284,2165,1.0046072756322766,0.517782909930716,0.19879416111480658
2020_21,feature_logistic,8284,2165,1.004879077167854,0.5136258660508083,0.19846157831456418
2020_21,xgboost_classifier,8284,2165,1.0041484832763672,0.5131639722863741,0.1987694031018923
2020_21,poisson_score_model,8284,2165,0.9984335842113382,0.5163972286374134,0.19791962089254647
2021_22,naive_base_rate,10449,1938,1.0769366826334448,0.4277605779153767,0.21735107466165035
2021_22,elo_logistic,10449,1938,0.9971672667897025,0.5252837977296182,0.19826524243644617
2021_22,feature_logistic,10449,1938,0.9931169765524421,0.5263157894736842,0.1970540273477283
2021_22,xgboost_classifier,10449,1938,0.9952937364578247,0.5252837977296182,0.19767865771586743
2021_22,poisson_score_model,10449,1938,0.9922353799986773,0.5268317853457173,0.19709892280652777
2022_23,naive_base_rate,12387,1941,1.0624906111156458,0.45801133436373004,0.2139713752634357
2022_23,elo_logistic,12387,1941,0.9879319372052107,0.5399278722308088,0.19610157228599906
2022_23,feature_logistic,12387,1941,0.9912942095927072,0.5311695002575991,0.19653704481498604
2022_23,xgboost_classifier,12387,1941,0.9902250170707703,0.5337454920144256,0.19636709099427138
2022_23,poisson_score_model,12387,1941,0.9868538089034228,0.5358062854198866,0.1959690885637081
2023_24,naive_base_rate,14328,1860,1.0757799497119658,0.4338709677419355,0.21698687108926143
2023_24,elo_logistic,14328,1860,0.972763044298278,0.5301075268817205,0.19346482809944937
2023_24,feature_logistic,14328,1860,0.9694631393506675,0.535483870967742,0.19246706295384114
2023_24,xgboost_classifier,14328,1860,0.9722439050674438,0.5295698924731183,0.19288439422082992
2023_24,poisson_score_model,14328,1860,0.9715867758419661,0.5349462365591398,0.19273626117599651
2024_25,naive_base_rate,16188,1925,1.0732231143377562,0.42753246753246754,0.21666211557546103
2024_25,elo_logistic,16188,1925,0.9803127282009393,0.5381818181818182,0.19458934231736413
2024_25,feature_logistic,16188,1925,0.9813056344846055,0.531948051948052,0.19487073919902342
2024_25,xgboost_classifier,16188,1925,0.9821560382843018,0.5355844155844156,0.1949127320182556
2024_25,poisson_score_model,16188,1925,0.9803174880506473,0.5340259740259741,0.19463457322816483
2025_26,naive_base_rate,18113,1921,1.067979559761665,0.446121811556481,0.2152607734791056
2025_26,elo_logistic,18113,1921,0.9975645186213022,0.5127537740760021,0.19814451613913098
2025_26,feature_logistic,18113,1921,0.9952591557455885,0.5132743362831859,0.1977250677168731
2025_26,xgboost_classifier,18113,1921,0.9938104152679443,0.5143154606975534,0.1976258312060387
2025_26,poisson_score_model,18113,1921,0.9970416364015426,0.5148360229047371,0.19824985218409935
