model,mean_log_loss,mean_accuracy,mean_brier_score,splits,total_test_rows,rank_by_log_loss
poisson_score_model,0.9878969658246398,0.5268056450451385,0.19615041504928202,7,13343,1
feature_logistic,0.9895402483101619,0.5256788756223519,0.1962255831989969,7,13343,2
xgboost_classifier,0.9897634642464774,0.5258361768488305,0.1963604275337642,7,13343,3
elo_logistic,0.990502122154698,0.5266175279845645,0.19668706611813017,7,13343,4
naive_base_rate,1.0734403135894326,0.4338395251872395,0.21659690764751746,7,13343,5
