date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2016-09-13,2016_17,Champions League,Group A,league_phase,FC Basel 1893 (SUI),PFC Ludogorets Razgrad (BUL),1,1
2016-09-13,2016_17,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Arsenal FC (ENG),1,1
2016-09-28,2016_17,Champions League,Group A,league_phase,Arsenal FC (ENG),FC Basel 1893 (SUI),2,0
2016-09-28,2016_17,Champions League,Group A,league_phase,PFC Ludogorets Razgrad (BUL),Paris Saint-Germain (FRA),1,3
2016-10-19,2016_17,Champions League,Group A,league_phase,Arsenal FC (ENG),PFC Ludogorets Razgrad (BUL),6,0
2016-10-19,2016_17,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),FC Basel 1893 (SUI),3,0
2016-11-01,2016_17,Champions League,Group A,league_phase,FC Basel 1893 (SUI),Paris Saint-Germain (FRA),1,2
2016-11-01,2016_17,Champions League,Group A,league_phase,PFC Ludogorets Razgrad (BUL),Arsenal FC (ENG),2,3
2016-11-23,2016_17,Champions League,Group A,league_phase,Arsenal FC (ENG),Paris Saint-Germain (FRA),2,2
2016-11-23,2016_17,Champions League,Group A,league_phase,PFC Ludogorets Razgrad (BUL),FC Basel 1893 (SUI),0,0
2016-12-06,2016_17,Champions League,Group A,league_phase,FC Basel 1893 (SUI),Arsenal FC (ENG),1,4
2016-12-06,2016_17,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),PFC Ludogorets Razgrad (BUL),2,2
2016-09-13,2016_17,Champions League,Group B,league_phase,Dinamo Kiev (UKR),SSC Napoli (ITA),1,2
2016-09-13,2016_17,Champions League,Group B,league_phase,SL Benfica (POR),Beşiktaş (TUR),1,1
2016-09-28,2016_17,Champions League,Group B,league_phase,Beşiktaş (TUR),Dinamo Kiev (UKR),1,1
2016-09-28,2016_17,Champions League,Group B,league_phase,SSC Napoli (ITA),SL Benfica (POR),4,2
2016-10-19,2016_17,Champions League,Group B,league_phase,Dinamo Kiev (UKR),SL Benfica (POR),0,2
2016-10-19,2016_17,Champions League,Group B,league_phase,SSC Napoli (ITA),Beşiktaş (TUR),2,3
2016-11-01,2016_17,Champions League,Group B,league_phase,Beşiktaş (TUR),SSC Napoli (ITA),1,1
