date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2021-09-15,2021_22,Champions League,Group A,league_phase,Manchester City (ENG),RB Leipzig (GER),6,3
2021-09-15,2021_22,Champions League,Group A,league_phase,Club Brugge KV (BEL),Paris Saint-Germain (FRA),1,1
2021-09-28,2021_22,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Manchester City (ENG),2,0
2021-09-28,2021_22,Champions League,Group A,league_phase,RB Leipzig (GER),Club Brugge KV (BEL),1,2
2021-10-19,2021_22,Champions League,Group A,league_phase,Club Brugge KV (BEL),Manchester City (ENG),1,5
2021-10-19,2021_22,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),RB Leipzig (GER),3,2
2021-11-03,2021_22,Champions League,Group A,league_phase,RB Leipzig (GER),Paris Saint-Germain (FRA),2,2
2021-11-03,2021_22,Champions League,Group A,league_phase,Manchester City (ENG),Club Brugge KV (BEL),4,1
2021-11-24,2021_22,Champions League,Group A,league_phase,Manchester City (ENG),Paris Saint-Germain (FRA),2,1
2021-11-24,2021_22,Champions League,Group A,league_phase,Club Brugge KV (BEL),RB Leipzig (GER),0,5
2021-12-07,2021_22,Champions League,Group A,league_phase,RB Leipzig (GER),Manchester City (ENG),2,1
2021-12-07,2021_22,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Club Brugge KV (BEL),4,1
2021-09-15,2021_22,Champions League,Group B,league_phase,Atlético Madrid (ESP),FC Porto (POR),0,0
2021-09-15,2021_22,Champions League,Group B,league_phase,Liverpool FC (ENG),AC Milan (ITA),3,2
2021-09-28,2021_22,Champions League,Group B,league_phase,FC Porto (POR),Liverpool FC (ENG),1,5
2021-09-28,2021_22,Champions League,Group B,league_phase,AC Milan (ITA),Atlético Madrid (ESP),1,2
2021-10-19,2021_22,Champions League,Group B,league_phase,Atlético Madrid (ESP),Liverpool FC (ENG),2,3
2021-10-19,2021_22,Champions League,Group B,league_phase,FC Porto (POR),AC Milan (ITA),1,0
2021-11-03,2021_22,Champions League,Group B,league_phase,AC Milan (ITA),FC Porto (POR),1,1
2021-11-03,2021_22,Champions League,Group B,league_phase,Liverpool FC (ENG),Atlético Madrid (ESP),2,0
2021-11-24,2021_22,Champions League,Group B,league_phase,Liverpool FC (ENG),FC Porto (POR),2,0
2021-11-24,2021_22,Champions League,Group B,league_phase,Atlético Madrid (ESP),AC Milan (ITA),0,1
2021-12-07,2021_22,Champions League,Group B,league_phase,FC Porto (POR),Atlético Madrid (ESP),1,3
2021-12-07,2021_22,Champions League,Group B,league_phase,AC Milan (ITA),Liverpool FC (ENG),1,2
2021-09-15,2021_22,Champions League,Group C,league_phase,Beşiktaş (TUR),Borussia Dortmund (GER),1,2
2021-09-15,2021_22,Champions League,Group C,league_phase,Sporting CP (POR),AFC Ajax (NED),1,5
2021-09-28,2021_22,Champions League,Group C,league_phase,AFC Ajax (NED),Beşiktaş (TUR),2,0
2021-09-28,2021_22,Champions League,Group C,league_phase,Borussia Dortmund (GER),Sporting CP (POR),1,0
2021-10-19,2021_22,Champions League,Group C,league_phase,Beşiktaş (TUR),Sporting CP (POR),1,4
2021-10-19,2021_22,Champions League,Group C,league_phase,AFC Ajax (NED),Borussia Dortmund (GER),4,0
2021-11-03,2021_22,Champions League,Group C,league_phase,Borussia Dortmund (GER),AFC Ajax (NED),1,3
2021-11-03,2021_22,Champions League,Group C,league_phase,Sporting CP (POR),Beşiktaş (TUR),4,0
2021-11-24,2021_22,Champions League,Group C,league_phase,Beşiktaş (TUR),AFC Ajax (NED),1,2
2021-11-24,2021_22,Champions League,Group C,league_phase,Sporting CP (POR),Borussia Dortmund (GER),3,1
2021-12-07,2021_22,Champions League,Group C,league_phase,AFC Ajax (NED),Sporting CP (POR),4,2
2021-12-07,2021_22,Champions League,Group C,league_phase,Borussia Dortmund (GER),Beşiktaş (TUR),5,0
2021-09-15,2021_22,Champions League,Group D,league_phase,FC Sheriff (MDA),Shakhtar Donetsk (UKR),2,0
2021-09-15,2021_22,Champions League,Group D,league_phase,Inter (ITA),Real Madrid (ESP),0,1
2021-09-28,2021_22,Champions League,Group D,league_phase,Shakhtar Donetsk (UKR),Inter (ITA),0,0
2021-09-28,2021_22,Champions League,Group D,league_phase,Real Madrid (ESP),FC Sheriff (MDA),1,2
2021-10-19,2021_22,Champions League,Group D,league_phase,Shakhtar Donetsk (UKR),Real Madrid (ESP),0,5
2021-10-19,2021_22,Champions League,Group D,league_phase,Inter (ITA),FC Sheriff (MDA),3,1
2021-11-03,2021_22,Champions League,Group D,league_phase,Real Madrid (ESP),Shakhtar Donetsk (UKR),2,1
2021-11-03,2021_22,Champions League,Group D,league_phase,FC Sheriff (MDA),Inter (ITA),1,3
2021-11-24,2021_22,Champions League,Group D,league_phase,Inter (ITA),Shakhtar Donetsk (UKR),2,0
2021-11-24,2021_22,Champions League,Group D,league_phase,FC Sheriff (MDA),Real Madrid (ESP),0,3
2021-12-07,2021_22,Champions League,Group D,league_phase,Real Madrid (ESP),Inter (ITA),2,0
2021-12-07,2021_22,Champions League,Group D,league_phase,Shakhtar Donetsk (UKR),FC Sheriff (MDA),1,1
