date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,AC Milan (ITA),Newcastle United FC (ENG),0,0
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,BSC Young Boys (SUI),RB Leipzig (GER),1,3
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,SS Lazio (ITA),Club Atlético de Madrid (ESP),1,1
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,Feyenoord Rotterdam (NED),Celtic FC (SCO),2,0
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,Paris Saint-Germain FC (FRA),Borussia Dortmund (GER),2,0
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,Manchester City FC (ENG),FK Crvena Zvezda (SRB),3,1
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,FC Barcelona (ESP),Royal Antwerp FC (BEL),5,0
2023-09-19,2023_24,Champions League,"Group, Matchday 1",league_phase,FK Shakhtar Donetsk (UKR),FC Porto (POR),1,3
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Real Madrid CF (ESP),1. FC Union Berlin (GER),1,0
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Galatasaray SK (TUR),FC København (DEN),2,2
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Sevilla FC (ESP),Racing Club de Lens (FRA),1,1
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Sporting Clube de Braga (POR),SSC Napoli (ITA),1,2
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Real Sociedad de Fútbol (ESP),FC Internazionale Milano (ITA),1,1
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Sport Lisboa e Benfica (POR),FC Red Bull Salzburg (AUT),0,2
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,FC Bayern München (GER),Manchester United FC (ENG),4,3
2023-09-20,2023_24,Champions League,"Group, Matchday 1",league_phase,Arsenal FC (ENG),PSV (NED),4,0
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,1. FC Union Berlin (GER),Sporting Clube de Braga (POR),2,3
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,FC Red Bull Salzburg (AUT),Real Sociedad de Fútbol (ESP),0,2
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,SSC Napoli (ITA),Real Madrid CF (ESP),2,3
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,FC Internazionale Milano (ITA),Sport Lisboa e Benfica (POR),1,0
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,FC København (DEN),FC Bayern München (GER),1,2
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,Manchester United FC (ENG),Galatasaray SK (TUR),2,3
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,Racing Club de Lens (FRA),Arsenal FC (ENG),2,1
2023-10-03,2023_24,Champions League,"Group, Matchday 2",league_phase,PSV (NED),Sevilla FC (ESP),2,2
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,Club Atlético de Madrid (ESP),Feyenoord Rotterdam (NED),3,2
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,Royal Antwerp FC (BEL),FK Shakhtar Donetsk (UKR),2,3
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,Celtic FC (SCO),SS Lazio (ITA),1,2
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,Borussia Dortmund (GER),AC Milan (ITA),0,0
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,Newcastle United FC (ENG),Paris Saint-Germain FC (FRA),4,1
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,FK Crvena Zvezda (SRB),BSC Young Boys (SUI),2,2
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,RB Leipzig (GER),Manchester City FC (ENG),1,3
2023-10-04,2023_24,Champions League,"Group, Matchday 2",league_phase,FC Porto (POR),FC Barcelona (ESP),0,1
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,FC Internazionale Milano (ITA),FC Red Bull Salzburg (AUT),2,1
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Galatasaray SK (TUR),FC Bayern München (GER),1,3
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,1. FC Union Berlin (GER),SSC Napoli (ITA),0,1
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Sporting Clube de Braga (POR),Real Madrid CF (ESP),1,2
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Sport Lisboa e Benfica (POR),Real Sociedad de Fútbol (ESP),0,1
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Manchester United FC (ENG),FC København (DEN),1,0
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Sevilla FC (ESP),Arsenal FC (ENG),1,2
2023-10-24,2023_24,Champions League,"Group, Matchday 3",league_phase,Racing Club de Lens (FRA),PSV (NED),1,1
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,Feyenoord Rotterdam (NED),SS Lazio (ITA),3,1
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,FC Barcelona (ESP),FK Shakhtar Donetsk (UKR),2,1
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,Celtic FC (SCO),Club Atlético de Madrid (ESP),2,2
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,Paris Saint-Germain FC (FRA),AC Milan (ITA),3,0
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,Newcastle United FC (ENG),Borussia Dortmund (GER),0,1
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,BSC Young Boys (SUI),Manchester City FC (ENG),1,3
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,RB Leipzig (GER),FK Crvena Zvezda (SRB),3,1
2023-10-25,2023_24,Champions League,"Group, Matchday 3",league_phase,Royal Antwerp FC (BEL),FC Porto (POR),1,4
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,Borussia Dortmund (GER),Newcastle United FC (ENG),2,0
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,FK Shakhtar Donetsk (UKR),FC Barcelona (ESP),1,0
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,Club Atlético de Madrid (ESP),Celtic FC (SCO),6,0
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,SS Lazio (ITA),Feyenoord Rotterdam (NED),1,0
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,AC Milan (ITA),Paris Saint-Germain FC (FRA),2,1
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,Manchester City FC (ENG),BSC Young Boys (SUI),3,0
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,FK Crvena Zvezda (SRB),RB Leipzig (GER),1,2
2023-11-07,2023_24,Champions League,"Group, Matchday 4",league_phase,FC Porto (POR),Royal Antwerp FC (BEL),2,0
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,SSC Napoli (ITA),1. FC Union Berlin (GER),1,1
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,Real Sociedad de Fútbol (ESP),Sport Lisboa e Benfica (POR),3,1
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,Real Madrid CF (ESP),Sporting Clube de Braga (POR),3,0
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,FC Red Bull Salzburg (AUT),FC Internazionale Milano (ITA),0,1
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,FC Bayern München (GER),Galatasaray SK (TUR),2,1
2023-11-08,2023_24,Champions League,"Group, Matchday 4",league_phase,FC København (DEN),Manchester United FC (ENG),4,3
