date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2022-09-07,2022_23,Champions League,Group A,league_phase,AFC Ajax (NED),Rangers FC (SCO),4,0
2022-09-07,2022_23,Champions League,Group A,league_phase,SSC Napoli (ITA),Liverpool FC (ENG),4,1
2022-09-13,2022_23,Champions League,Group A,league_phase,Liverpool FC (ENG),AFC Ajax (NED),2,1
2022-09-14,2022_23,Champions League,Group A,league_phase,Rangers FC (SCO),SSC Napoli (ITA),0,3
2022-10-04,2022_23,Champions League,Group A,league_phase,AFC Ajax (NED),SSC Napoli (ITA),1,6
2022-10-04,2022_23,Champions League,Group A,league_phase,Liverpool FC (ENG),Rangers FC (SCO),2,0
2022-10-12,2022_23,Champions League,Group A,league_phase,SSC Napoli (ITA),AFC Ajax (NED),4,2
2022-10-12,2022_23,Champions League,Group A,league_phase,Rangers FC (SCO),Liverpool FC (ENG),1,7
2022-10-26,2022_23,Champions League,Group A,league_phase,AFC Ajax (NED),Liverpool FC (ENG),0,3
2022-10-26,2022_23,Champions League,Group A,league_phase,SSC Napoli (ITA),Rangers FC (SCO),3,0
2022-11-01,2022_23,Champions League,Group A,league_phase,Rangers FC (SCO),AFC Ajax (NED),1,3
2022-11-01,2022_23,Champions League,Group A,league_phase,Liverpool FC (ENG),SSC Napoli (ITA),2,0
2022-09-07,2022_23,Champions League,Group B,league_phase,Atlético Madrid (ESP),FC Porto (POR),2,1
2022-09-07,2022_23,Champions League,Group B,league_phase,Club Brugge KV (BEL),Bayer Leverkusen (GER),1,0
2022-09-13,2022_23,Champions League,Group B,league_phase,Bayer Leverkusen (GER),Atlético Madrid (ESP),2,0
2022-09-13,2022_23,Champions League,Group B,league_phase,FC Porto (POR),Club Brugge KV (BEL),0,4
2022-10-04,2022_23,Champions League,Group B,league_phase,Club Brugge KV (BEL),Atlético Madrid (ESP),2,0
2022-10-04,2022_23,Champions League,Group B,league_phase,FC Porto (POR),Bayer Leverkusen (GER),2,0
2022-10-12,2022_23,Champions League,Group B,league_phase,Atlético Madrid (ESP),Club Brugge KV (BEL),0,0
2022-10-12,2022_23,Champions League,Group B,league_phase,Bayer Leverkusen (GER),FC Porto (POR),0,3
2022-10-26,2022_23,Champions League,Group B,league_phase,Club Brugge KV (BEL),FC Porto (POR),0,4
2022-10-26,2022_23,Champions League,Group B,league_phase,Atlético Madrid (ESP),Bayer Leverkusen (GER),2,2
2022-11-01,2022_23,Champions League,Group B,league_phase,FC Porto (POR),Atlético Madrid (ESP),2,1
2022-11-01,2022_23,Champions League,Group B,league_phase,Bayer Leverkusen (GER),Club Brugge KV (BEL),0,0
2022-09-07,2022_23,Champions League,Group C,league_phase,Inter (ITA),Bayern München (GER),0,2
2022-09-07,2022_23,Champions League,Group C,league_phase,FC Barcelona (ESP),Viktoria Plzeň (CZE),5,1
2022-09-13,2022_23,Champions League,Group C,league_phase,Viktoria Plzeň (CZE),Inter (ITA),0,2
2022-09-13,2022_23,Champions League,Group C,league_phase,Bayern München (GER),FC Barcelona (ESP),2,0
2022-10-04,2022_23,Champions League,Group C,league_phase,Bayern München (GER),Viktoria Plzeň (CZE),5,0
2022-10-04,2022_23,Champions League,Group C,league_phase,Inter (ITA),FC Barcelona (ESP),1,0
2022-10-12,2022_23,Champions League,Group C,league_phase,Viktoria Plzeň (CZE),Bayern München (GER),2,4
2022-10-12,2022_23,Champions League,Group C,league_phase,FC Barcelona (ESP),Inter (ITA),3,3
