date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2015-09-15,2015_16,Champions League,Group A,league_phase,Real Madrid (ESP),Shakhtar Donetsk (UKR),4,0
2015-09-15,2015_16,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Malmö FF (SWE),2,0
2015-09-30,2015_16,Champions League,Group A,league_phase,Malmö FF (SWE),Real Madrid (ESP),0,2
2015-09-30,2015_16,Champions League,Group A,league_phase,Shakhtar Donetsk (UKR),Paris Saint-Germain (FRA),0,3
2015-10-21,2015_16,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Real Madrid (ESP),0,0
2015-10-21,2015_16,Champions League,Group A,league_phase,Malmö FF (SWE),Shakhtar Donetsk (UKR),1,0
2015-11-03,2015_16,Champions League,Group A,league_phase,Real Madrid (ESP),Paris Saint-Germain (FRA),1,0
2015-11-03,2015_16,Champions League,Group A,league_phase,Shakhtar Donetsk (UKR),Malmö FF (SWE),4,0
2015-11-25,2015_16,Champions League,Group A,league_phase,Malmö FF (SWE),Paris Saint-Germain (FRA),0,5
2015-11-25,2015_16,Champions League,Group A,league_phase,Shakhtar Donetsk (UKR),Real Madrid (ESP),3,4
2015-12-08,2015_16,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Shakhtar Donetsk (UKR),2,0
2015-12-08,2015_16,Champions League,Group A,league_phase,Real Madrid (ESP),Malmö FF (SWE),8,0
2015-09-15,2015_16,Champions League,Group B,league_phase,VfL Wolfsburg (GER),CSKA Moskva (RUS),1,0
2015-09-15,2015_16,Champions League,Group B,league_phase,PSV Eindhoven (NED),Manchester United (ENG),2,1
2015-09-30,2015_16,Champions League,Group B,league_phase,CSKA Moskva (RUS),PSV Eindhoven (NED),3,2
2015-09-30,2015_16,Champions League,Group B,league_phase,Manchester United (ENG),VfL Wolfsburg (GER),2,1
2015-10-21,2015_16,Champions League,Group B,league_phase,CSKA Moskva (RUS),Manchester United (ENG),1,1
