date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2017-09-12,2017_18,Champions League,Group A,league_phase,Manchester United (ENG),FC Basel 1893 (SUI),3,0
2017-09-12,2017_18,Champions League,Group A,league_phase,SL Benfica (POR),CSKA Moskva (RUS),1,2
2017-09-27,2017_18,Champions League,Group A,league_phase,FC Basel 1893 (SUI),SL Benfica (POR),5,0
2017-09-27,2017_18,Champions League,Group A,league_phase,CSKA Moskva (RUS),Manchester United (ENG),1,4
2017-10-18,2017_18,Champions League,Group A,league_phase,SL Benfica (POR),Manchester United (ENG),0,1
2017-10-18,2017_18,Champions League,Group A,league_phase,CSKA Moskva (RUS),FC Basel 1893 (SUI),0,2
2017-10-31,2017_18,Champions League,Group A,league_phase,Manchester United (ENG),SL Benfica (POR),2,0
2017-10-31,2017_18,Champions League,Group A,league_phase,FC Basel 1893 (SUI),CSKA Moskva (RUS),1,2
2017-11-22,2017_18,Champions League,Group A,league_phase,CSKA Moskva (RUS),SL Benfica (POR),2,0
2017-11-22,2017_18,Champions League,Group A,league_phase,FC Basel 1893 (SUI),Manchester United (ENG),1,0
2017-12-05,2017_18,Champions League,Group A,league_phase,SL Benfica (POR),FC Basel 1893 (SUI),0,2
2017-12-05,2017_18,Champions League,Group A,league_phase,Manchester United (ENG),CSKA Moskva (RUS),2,1
2017-09-12,2017_18,Champions League,Group B,league_phase,Bayern München (GER),RSC Anderlecht (BEL),3,0
2017-09-12,2017_18,Champions League,Group B,league_phase,Celtic FC (SCO),Paris Saint-Germain (FRA),0,5
2017-09-27,2017_18,Champions League,Group B,league_phase,Paris Saint-Germain (FRA),Bayern München (GER),3,0
2017-09-27,2017_18,Champions League,Group B,league_phase,RSC Anderlecht (BEL),Celtic FC (SCO),0,3
2017-10-18,2017_18,Champions League,Group B,league_phase,RSC Anderlecht (BEL),Paris Saint-Germain (FRA),0,4
2017-10-18,2017_18,Champions League,Group B,league_phase,Bayern München (GER),Celtic FC (SCO),3,0
2017-10-31,2017_18,Champions League,Group B,league_phase,Paris Saint-Germain (FRA),RSC Anderlecht (BEL),5,0
2017-10-31,2017_18,Champions League,Group B,league_phase,Celtic FC (SCO),Bayern München (GER),1,2
2017-11-22,2017_18,Champions League,Group B,league_phase,RSC Anderlecht (BEL),Bayern München (GER),1,2
2017-11-22,2017_18,Champions League,Group B,league_phase,Paris Saint-Germain (FRA),Celtic FC (SCO),7,1
2017-12-05,2017_18,Champions League,Group B,league_phase,Bayern München (GER),Paris Saint-Germain (FRA),3,1
2017-12-05,2017_18,Champions League,Group B,league_phase,Celtic FC (SCO),RSC Anderlecht (BEL),0,1
2017-09-12,2017_18,Champions League,Group C,league_phase,AS Roma (ITA),Atlético Madrid (ESP),0,0
2017-09-12,2017_18,Champions League,Group C,league_phase,Chelsea FC (ENG),Qarabağ FK (AZE),6,0
2017-09-27,2017_18,Champions League,Group C,league_phase,Qarabağ FK (AZE),AS Roma (ITA),1,2
2017-09-27,2017_18,Champions League,Group C,league_phase,Atlético Madrid (ESP),Chelsea FC (ENG),1,2
2017-10-18,2017_18,Champions League,Group C,league_phase,Qarabağ FK (AZE),Atlético Madrid (ESP),0,0
2017-10-18,2017_18,Champions League,Group C,league_phase,Chelsea FC (ENG),AS Roma (ITA),3,3
2017-10-31,2017_18,Champions League,Group C,league_phase,AS Roma (ITA),Chelsea FC (ENG),3,0
2017-10-31,2017_18,Champions League,Group C,league_phase,Atlético Madrid (ESP),Qarabağ FK (AZE),1,1
2017-11-22,2017_18,Champions League,Group C,league_phase,Qarabağ FK (AZE),Chelsea FC (ENG),0,4
2017-11-22,2017_18,Champions League,Group C,league_phase,Atlético Madrid (ESP),AS Roma (ITA),2,0
2017-12-05,2017_18,Champions League,Group C,league_phase,Chelsea FC (ENG),Atlético Madrid (ESP),1,1
2017-12-05,2017_18,Champions League,Group C,league_phase,AS Roma (ITA),Qarabağ FK (AZE),1,0
2017-09-12,2017_18,Champions League,Group D,league_phase,FC Barcelona (ESP),Juventus (ITA),3,0
2017-09-12,2017_18,Champions League,Group D,league_phase,Olympiakos Piraeus (GRE),Sporting CP (POR),2,3
2017-09-27,2017_18,Champions League,Group D,league_phase,Juventus (ITA),Olympiakos Piraeus (GRE),2,0
2017-09-27,2017_18,Champions League,Group D,league_phase,Sporting CP (POR),FC Barcelona (ESP),0,1
2017-10-18,2017_18,Champions League,Group D,league_phase,FC Barcelona (ESP),Olympiakos Piraeus (GRE),3,1
2017-10-18,2017_18,Champions League,Group D,league_phase,Juventus (ITA),Sporting CP (POR),2,1
2017-10-31,2017_18,Champions League,Group D,league_phase,Olympiakos Piraeus (GRE),FC Barcelona (ESP),0,0
2017-10-31,2017_18,Champions League,Group D,league_phase,Sporting CP (POR),Juventus (ITA),1,1
2017-11-22,2017_18,Champions League,Group D,league_phase,Juventus (ITA),FC Barcelona (ESP),0,0
2017-11-22,2017_18,Champions League,Group D,league_phase,Sporting CP (POR),Olympiakos Piraeus (GRE),3,1
2017-12-05,2017_18,Champions League,Group D,league_phase,FC Barcelona (ESP),Sporting CP (POR),2,0
2017-12-05,2017_18,Champions League,Group D,league_phase,Olympiakos Piraeus (GRE),Juventus (ITA),0,2
