date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2018-09-18,2018_19,Champions League,Group A,league_phase,AS Monaco (FRA),Atlético Madrid (ESP),1,2
2018-09-18,2018_19,Champions League,Group A,league_phase,Club Brugge KV (BEL),Borussia Dortmund (GER),0,1
2018-10-03,2018_19,Champions League,Group A,league_phase,Borussia Dortmund (GER),AS Monaco (FRA),3,0
2018-10-03,2018_19,Champions League,Group A,league_phase,Atlético Madrid (ESP),Club Brugge KV (BEL),3,1
2018-10-24,2018_19,Champions League,Group A,league_phase,Club Brugge KV (BEL),AS Monaco (FRA),1,1
2018-10-24,2018_19,Champions League,Group A,league_phase,Borussia Dortmund (GER),Atlético Madrid (ESP),4,0
2018-11-06,2018_19,Champions League,Group A,league_phase,AS Monaco (FRA),Club Brugge KV (BEL),0,4
2018-11-06,2018_19,Champions League,Group A,league_phase,Atlético Madrid (ESP),Borussia Dortmund (GER),2,0
2018-11-28,2018_19,Champions League,Group A,league_phase,Atlético Madrid (ESP),AS Monaco (FRA),2,0
2018-11-28,2018_19,Champions League,Group A,league_phase,Borussia Dortmund (GER),Club Brugge KV (BEL),0,0
2018-12-11,2018_19,Champions League,Group A,league_phase,AS Monaco (FRA),Borussia Dortmund (GER),0,2
2018-12-11,2018_19,Champions League,Group A,league_phase,Club Brugge KV (BEL),Atlético Madrid (ESP),0,0
2018-09-18,2018_19,Champions League,Group B,league_phase,FC Barcelona (ESP),PSV Eindhoven (NED),4,0
2018-09-18,2018_19,Champions League,Group B,league_phase,Inter (ITA),Tottenham Hotspur (ENG),2,1
2018-10-03,2018_19,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),FC Barcelona (ESP),2,4
2018-10-03,2018_19,Champions League,Group B,league_phase,PSV Eindhoven (NED),Inter (ITA),1,2
2018-10-24,2018_19,Champions League,Group B,league_phase,PSV Eindhoven (NED),Tottenham Hotspur (ENG),2,2
2018-10-24,2018_19,Champions League,Group B,league_phase,FC Barcelona (ESP),Inter (ITA),2,0
2018-11-06,2018_19,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),PSV Eindhoven (NED),2,1
2018-11-06,2018_19,Champions League,Group B,league_phase,Inter (ITA),FC Barcelona (ESP),1,1
2018-11-28,2018_19,Champions League,Group B,league_phase,PSV Eindhoven (NED),FC Barcelona (ESP),1,2
2018-11-28,2018_19,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),Inter (ITA),1,0
2018-12-11,2018_19,Champions League,Group B,league_phase,FC Barcelona (ESP),Tottenham Hotspur (ENG),1,1
2018-12-11,2018_19,Champions League,Group B,league_phase,Inter (ITA),PSV Eindhoven (NED),1,1
2018-09-18,2018_19,Champions League,Group C,league_phase,Liverpool FC (ENG),Paris Saint-Germain (FRA),3,2
2018-09-18,2018_19,Champions League,Group C,league_phase,Crvena Zvezda (SRB),SSC Napoli (ITA),0,0
2018-10-03,2018_19,Champions League,Group C,league_phase,Paris Saint-Germain (FRA),Crvena Zvezda (SRB),6,1
2018-10-03,2018_19,Champions League,Group C,league_phase,SSC Napoli (ITA),Liverpool FC (ENG),1,0
2018-10-24,2018_19,Champions League,Group C,league_phase,Paris Saint-Germain (FRA),SSC Napoli (ITA),2,2
2018-10-24,2018_19,Champions League,Group C,league_phase,Liverpool FC (ENG),Crvena Zvezda (SRB),4,0
2018-11-06,2018_19,Champions League,Group C,league_phase,Crvena Zvezda (SRB),Liverpool FC (ENG),2,0
