date,season,competition,stage_raw,stage,home_team,away_team,home_goals,away_goals
2019-09-18,2019_20,Champions League,Group A,league_phase,Club Brugge KV (BEL),Galatasaray (TUR),0,0
2019-09-18,2019_20,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Real Madrid (ESP),3,0
2019-10-01,2019_20,Champions League,Group A,league_phase,Real Madrid (ESP),Club Brugge KV (BEL),2,2
2019-10-01,2019_20,Champions League,Group A,league_phase,Galatasaray (TUR),Paris Saint-Germain (FRA),0,1
2019-10-22,2019_20,Champions League,Group A,league_phase,Club Brugge KV (BEL),Paris Saint-Germain (FRA),0,5
2019-10-22,2019_20,Champions League,Group A,league_phase,Galatasaray (TUR),Real Madrid (ESP),0,1
2019-11-06,2019_20,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Club Brugge KV (BEL),1,0
2019-11-06,2019_20,Champions League,Group A,league_phase,Real Madrid (ESP),Galatasaray (TUR),6,0
2019-11-26,2019_20,Champions League,Group A,league_phase,Galatasaray (TUR),Club Brugge KV (BEL),1,1
2019-11-26,2019_20,Champions League,Group A,league_phase,Real Madrid (ESP),Paris Saint-Germain (FRA),2,2
2019-12-11,2019_20,Champions League,Group A,league_phase,Paris Saint-Germain (FRA),Galatasaray (TUR),5,0
2019-12-11,2019_20,Champions League,Group A,league_phase,Club Brugge KV (BEL),Real Madrid (ESP),1,3
2019-09-18,2019_20,Champions League,Group B,league_phase,Olympiakos Piraeus (GRE),Tottenham Hotspur (ENG),2,2
2019-09-18,2019_20,Champions League,Group B,league_phase,Bayern München (GER),Crvena Zvezda (SRB),3,0
2019-10-01,2019_20,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),Bayern München (GER),2,7
2019-10-01,2019_20,Champions League,Group B,league_phase,Crvena Zvezda (SRB),Olympiakos Piraeus (GRE),3,1
2019-10-22,2019_20,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),Crvena Zvezda (SRB),5,0
2019-10-22,2019_20,Champions League,Group B,league_phase,Olympiakos Piraeus (GRE),Bayern München (GER),2,3
2019-11-06,2019_20,Champions League,Group B,league_phase,Bayern München (GER),Olympiakos Piraeus (GRE),2,0
2019-11-06,2019_20,Champions League,Group B,league_phase,Crvena Zvezda (SRB),Tottenham Hotspur (ENG),0,4
2019-11-26,2019_20,Champions League,Group B,league_phase,Tottenham Hotspur (ENG),Olympiakos Piraeus (GRE),4,2
2019-11-26,2019_20,Champions League,Group B,league_phase,Crvena Zvezda (SRB),Bayern München (GER),0,6
2019-12-11,2019_20,Champions League,Group B,league_phase,Bayern München (GER),Tottenham Hotspur (ENG),3,1
2019-12-11,2019_20,Champions League,Group B,league_phase,Olympiakos Piraeus (GRE),Crvena Zvezda (SRB),1,0
2019-09-18,2019_20,Champions League,Group C,league_phase,Shakhtar Donetsk (UKR),Manchester City (ENG),0,3
2019-09-18,2019_20,Champions League,Group C,league_phase,Dinamo Zagreb (CRO),Atalanta (ITA),4,0
2019-10-01,2019_20,Champions League,Group C,league_phase,Atalanta (ITA),Shakhtar Donetsk (UKR),1,2
2019-10-01,2019_20,Champions League,Group C,league_phase,Manchester City (ENG),Dinamo Zagreb (CRO),2,0
2019-10-22,2019_20,Champions League,Group C,league_phase,Shakhtar Donetsk (UKR),Dinamo Zagreb (CRO),2,2
2019-10-22,2019_20,Champions League,Group C,league_phase,Manchester City (ENG),Atalanta (ITA),5,1
2019-11-06,2019_20,Champions League,Group C,league_phase,Dinamo Zagreb (CRO),Shakhtar Donetsk (UKR),3,3
2019-11-06,2019_20,Champions League,Group C,league_phase,Atalanta (ITA),Manchester City (ENG),1,1
2019-11-26,2019_20,Champions League,Group C,league_phase,Manchester City (ENG),Shakhtar Donetsk (UKR),1,1
2019-11-26,2019_20,Champions League,Group C,league_phase,Atalanta (ITA),Dinamo Zagreb (CRO),2,0
2019-12-11,2019_20,Champions League,Group C,league_phase,Shakhtar Donetsk (UKR),Atalanta (ITA),0,3
2019-12-11,2019_20,Champions League,Group C,league_phase,Dinamo Zagreb (CRO),Manchester City (ENG),1,4
2019-09-18,2019_20,Champions League,Group D,league_phase,Atlético Madrid (ESP),Juventus (ITA),2,2
2019-09-18,2019_20,Champions League,Group D,league_phase,Bayer Leverkusen (GER),Lokomotiv Moskva (RUS),1,2
